Tournament;Round;Day;Date;Time;Home;Home score;Away score;Away Score;Away;Attendance;Venue;Extra Time;Penalties;Notes
Brazil 2014;Group stage;Fri;13/06/2014;18:00 (23:00);Chile;3;3-1;1;Australia;40,275;Arena Pantanal (Neutral Site);;;
Brazil 2014;Group stage;Sat;14/06/2014;13:00 (17:00);Colombia;3;3-0;0;Greece;57,174;Estádio Governador Magalhães Pinto (Neutral Site);;;
Brazil 2014;Group stage;Sat;14/06/2014;16:00 (20:00);Uruguay;1;1-3;3;Costa Rica;58,679;Estádio Castelão (Neutral Site);;;
Brazil 2014;Group stage;Sat;14/06/2014;18:00 (23:00);England;1;1-2;2;Italy;39,800;Arena da Amazônia (Neutral Site);;;
Brazil 2014;Group stage;Sun;15/06/2014;13:00 (17:00);Switzerland;2;2-1;1;Ecuador;68,351;Estádio Nacional de Brasília (Neutral Site);;;
Brazil 2014;Group stage;Sun;15/06/2014;16:00 (20:00);France;3;3-0;0;Honduras;43,012;Estádio José Pinheiro Borba (Neutral Site);;;
Brazil 2014;Group stage;Sun;15/06/2014;19:00 (23:00);Argentina;2;2-1;1;Bosnia & Herz'na;74,738;Estadio Jornalista Mário Filho (Neutral Site);;;
Brazil 2014;Group stage;Sat;14/06/2014;22:00 (02:00);Cote d'Ivoire;2;2-1;1;Japan;40,267;Itaipava Arena Pernambuco (Neutral Site);;;
Brazil 2014;Group stage;Mon;16/06/2014;13:00 (17:00);Germany;4;4-0;0;Portugal;51,081;Itaipava Arena Fonte Nova (Neutral Site);;;
Brazil 2014;Group stage;Mon;16/06/2014;16:00 (20:00);IR Iran;0;0-0;0;Nigeria;39,081;Estádio Joaquim Américo Guimarães (Neutral Site);;;
Brazil 2014;Group stage;Mon;16/06/2014;19:00 (23:00);Ghana;1;1-2;2;United States;39,760;Arena das Dunas (Neutral Site);;;
Brazil 2014;Group stage;Tue;17/06/2014;13:00 (17:00);Belgium;2;2-1;1;Algeria;56,800;Estádio Governador Magalhães Pinto (Neutral Site);;;
Brazil 2014;Group stage;Tue;17/06/2014;16:00 (20:00);Brazil;0;0-0;0;Mexico;60,342;Estádio Castelão (Neutral Site);;;
Brazil 2014;Group stage;Tue;17/06/2014;18:00 (23:00);Russia;1;1-1;1;Korea Republic;37,603;Arena Pantanal (Neutral Site);;;
Brazil 2014;Group stage;Wed;18/06/2014;13:00 (17:00);Australia;2;2-3;3;Netherlands;42,877;Estádio José Pinheiro Borba (Neutral Site);;;
Brazil 2014;Group stage;Wed;18/06/2014;16:00 (20:00);Spain;0;0-2;2;Chile;74,101;Estadio Jornalista Mário Filho (Neutral Site);;;
Brazil 2014;Group stage;Wed;18/06/2014;18:00 (23:00);Cameroon;0;0-4;4;Croatia;39,982;Arena da Amazônia (Neutral Site);;;
Brazil 2014;Group stage;Thu;19/06/2014;13:00 (17:00);Colombia;2;2-1;1;Cote d'Ivoire;68,748;Estádio Nacional de Brasília (Neutral Site);;;
Brazil 2014;Group stage;Thu;19/06/2014;16:00 (20:00);Uruguay;2;2-1;1;England;62,575;Arena Corinthians (Neutral Site);;;
Brazil 2014;Group stage;Thu;19/06/2014;19:00 (23:00);Japan;0;0-0;0;Greece;39,485;Arena das Dunas (Neutral Site);;;
Brazil 2014;Group stage;Fri;20/06/2014;13:00 (17:00);Italy;0;0-1;1;Costa Rica;40,285;Itaipava Arena Pernambuco (Neutral Site);;;
Brazil 2014;Group stage;Fri;20/06/2014;16:00 (20:00);Switzerland;2;2-5;5;France;51,003;Itaipava Arena Fonte Nova (Neutral Site);;;
Brazil 2014;Group stage;Fri;20/06/2014;19:00 (23:00);Honduras;1;1-2;2;Ecuador;39,224;Estádio Joaquim Américo Guimarães (Neutral Site);;;
Brazil 2014;Group stage;Sat;21/06/2014;13:00 (17:00);Argentina;1;1-0;0;IR Iran;57,698;Estádio Governador Magalhães Pinto (Neutral Site);;;
Brazil 2014;Group stage;Sat;21/06/2014;16:00 (20:00);Germany;2;2-2;2;Ghana;59,621;Estádio Castelão (Neutral Site);;;
Brazil 2014;Group stage;Sat;21/06/2014;18:00 (23:00);Nigeria;1;1-0;0;Bosnia & Herz'na;40,499;Arena Pantanal (Neutral Site);;;
Brazil 2014;Group stage;Sun;22/06/2014;13:00 (17:00);Belgium;1;1-0;0;Russia;73,819;Estadio Jornalista Mário Filho (Neutral Site);;;
Brazil 2014;Group stage;Sun;22/06/2014;16:00 (20:00);Republic;2;2-4;4;Algeria;42,732;Estádio José Pinheiro Borba (Neutral Site);;;
Brazil 2014;Group stage;Sun;22/06/2014;18:00 (23:00);United States;2;2-2;2;Portugal;40,123;Arena da Amazônia (Neutral Site);;;
Brazil 2014;Group stage;Mon;23/06/2014;13:00 (17:00);Australia;0;0-3;3;Spain;39,375;Estádio Joaquim Américo Guimarães (Neutral Site);;;
Brazil 2014;Group stage;Mon;23/06/2014;13:00 (17:00);Netherlands;2;2-0;0;Chile;62,996;Arena Corinthians (Neutral Site);;;
Brazil 2014;Group stage;Mon;23/06/2014;17:00 (21:00);Croatia;1;1-3;3;Mexico;41,212;Itaipava Arena Pernambuco (Neutral Site);;;
Brazil 2014;Group stage;Mon;23/06/2014;17:00 (21:00);Cameroon;1;1-4;4;Brazil;69,112;Estádio Nacional de Brasília (Neutral Site);;;
Brazil 2014;Group stage;Tue;24/06/2014;13:00 (17:00);Costa Rica;0;0-0;0;England;57,823;Estádio Governador Magalhães Pinto (Neutral Site);;;
Brazil 2014;Group stage;Tue;24/06/2014;13:00 (17:00);Italy;0;0-1;1;Uruguay;39,706;Arena das Dunas (Neutral Site);;;
Brazil 2014;Group stage;Tue;24/06/2014;16:00 (21:00);Japan;1;1-4;4;Colombia;40,340;Arena Pantanal (Neutral Site);;;
Brazil 2014;Group stage;Tue;24/06/2014;17:00 (21:00);Greece;2;2-1;1;Cote d'Ivoire;59,095;Estádio Castelão (Neutral Site);;;
Brazil 2014;Group stage;Wed;25/06/2014;13:00 (17:00);Nigeria;2;2-3;3;Argentina;43,285;Estádio José Pinheiro Borba (Neutral Site);;;
Brazil 2014;Group stage;Wed;25/06/2014;13:00 (17:00);Bosnia Herz'na;3;3-1;1;IR Iran;48,011;Itaipava Arena Fonte Nova (Neutral Site);;;
Brazil 2014;Group stage;Wed;25/06/2014;16:00 (21:00);Honduras;0;0-3;3;Switzerland;40,322;Arena da Amazônia (Neutral Site);;;
Brazil 2014;Group stage;Wed;25/06/2014;17:00 (21:00);Ecuador;0;0-0;0;France;73,749;Estadio Jornalista Mário Filho (Neutral Site);;;
Brazil 2014;Group stage;Thu;26/06/2014;13:00 (17:00);United States;0;0-1;1;Germany;41,876;Itaipava Arena Pernambuco (Neutral Site);;;
Brazil 2014;Group stage;Thu;26/06/2014;13:00 (17:00);Portugal;2;2-1;1;Ghana;67,540;Estádio Nacional de Brasília (Neutral Site);;;
Brazil 2014;Group stage;Thu;26/06/2014;17:00 (21:00);Algeria;1;1-1;1;Russia;39,311;Estádio Joaquim Américo Guimarães (Neutral Site);;;
Brazil 2014;Group stage;Thu;26/06/2014;17:00 (21:00);Republic;0;0-1;1;Belgium;61,397;Arena Corinthians (Neutral Site);;;
Brazil 2014;Round of 16;Sat;28/06/2014;13:00 (17:00);Brazil;1;1-1;1;Chile;57,714;Estádio Governador Magalhães Pinto (Neutral Site);Yes;Yes;Brazil won on penalty kicks following extra time
Brazil 2014;Round of 16;Sat;28/06/2014;17:00 (21:00);Colombia;2;2-0;0;Uruguay;73,804;Estadio Jornalista Mário Filho (Neutral Site);;;
Brazil 2014;Round of 16;Sun;29/06/2014;13:00 (17:00);Netherlands;2;2-1;1;Mexico;58,817;Estádio Castelão (Neutral Site);;;
Brazil 2014;Round of 16;Sun;29/06/2014;17:00 (21:00);Costa Rica;1;1-1;1;Greece;41,242;Itaipava Arena Pernambuco (Neutral Site);Yes;Yes;Costa Rica won on penalty kicks following extra time
Brazil 2014;Round of 16;Mon;30/06/2014;13:00 (17:00);France;2;2-0;0;Nigeria;67,882;Estádio Nacional de Brasília (Neutral Site);;;
Brazil 2014;Round of 16;Mon;30/06/2014;17:00 (21:00);Germany;2;2-1;1;Algeria;43,063;Estádio José Pinheiro Borba (Neutral Site);Yes;;Required Extra Time
Brazil 2014;Round of 16;Tue;01/07/2014;13:00 (17:00);Argentina;1;1-0;0;Switzerland;63,255;Arena Corinthians (Neutral Site);Yes;;Required Extra Time
Brazil 2014;Round of 16;Tue;01/07/2014;17:00 (21:00);Belgium;2;2-1;1;United States;51,227;Itaipava Arena Fonte Nova (Neutral Site);Yes;;Required Extra Time
Brazil 2014;Quarter-finals;Fri;04/07/2014;13:00 (17:00);France;0;0-1;1;Germany;74,240;Estadio Jornalista Mário Filho (Neutral Site);;;
Brazil 2014;Quarter-finals;Fri;04/07/2014;17:00 (21:00);Brazil;2;2-1;1;Colombia;60,342;Estádio Castelão (Neutral Site);;;
Brazil 2014;Quarter-finals;Sat;05/07/2014;13:00 (17:00);Argentina;1;1-0;0;Belgium;68,551;Estádio Nacional de Brasília (Neutral Site);;;
Brazil 2014;Quarter-finals;Sat;05/07/2014;17:00 (21:00);Netherlands;0;0-0;0;Costa Rica;51,179;Itaipava Arena Fonte Nova (Neutral Site);Yes;Yes;Netherlands won on penalty kicks following extra time
Brazil 2014;Semi-finals;Tue;08/07/2014;17:00 (21:00);Brazil;1;1-7;7;Germany;58,141;Estádio Governador Magalhães Pinto (Neutral Site);;;
Brazil 2014;Semi-finals;Wed;09/07/2014;17:00 (21:00);Netherlands;0;0-0;0;Argentina;63,267;Arena Corinthians (Neutral Site);Yes;Yes;Argentina won on penalty kicks following extra time
Brazil 2014;Third-place match;Sat;12/07/2014;17:00 (21:00);Brazil;0;0-3;3;Netherlands;68,034;Estádio Nacional de Brasília (Neutral Site);;;
Brazil 2014;Final;Sun;13/07/2014;16:00 (20:00);Germany;1;1-0;0;Argentina;74,738;Estadio Jornalista Mário Filho (Neutral Site);Yes;;Required Extra Time
South Africa 2010;Final;Sun;11/07/2010;20:30 (19:30);Netherlands;0;0-1;1;Spain;84,490;Soccer City (Neutral Site);Yes;;Required Extra Time
South Africa 2010;Group stage;Fri;25/06/2010;20:30 (19:30);Switzerland;3;3-0;0;Honduras;28,042;Toyota Stadium (Neutral Site);;;
South Africa 2010;Group stage;Fri;25/06/2010;20:30 (19:30);Chile;2;2-1;1;Spain;41,958;Loftus Versfeld Stadium (Neutral Site);;;
South Africa 2010;Group stage;Fri;25/06/2010;16:00 (15:00);Portugal;3;3-1;1;Brazil;62,712;Moses Mabhida Stadium (Neutral Site);;;
South Africa 2010;Group stage;Fri;25/06/2010;16:00 (15:00);Korea DPR;4;4-1;1;Cote d'Ivoire;34,763;Mbombela Stadium (Neutral Site);;;
South Africa 2010;Group stage;Thu;24/06/2010;20:30 (19:30);Cameroon;1;1-2;2;Netherlands;63,093;Cape Town Stadium (Neutral Site);;;
South Africa 2010;Group stage;Thu;24/06/2010;20:30 (19:30);Denmark;2;2-1;1;Japan;27,967;Royal Bafokeng Stadium (Neutral Site);;;
South Africa 2010;Group stage;Thu;24/06/2010;16:00 (15:00);Paraguay;0;0-1;1;New Zealand;34,850;Peter Mokaba Stadium (Neutral Site);;;
South Africa 2010;Group stage;Thu;24/06/2010;16:00 (15:00);Slovakia;2;2-3;3;Italy;53,412;Emirates Airline Park (Neutral Site);;;
South Africa 2010;Group stage;Wed;23/06/2010;20:30 (19:30);Australia;2;2-3;3;Serbia;37,836;Mbombela Stadium (Neutral Site);;;
South Africa 2010;Group stage;Wed;23/06/2010;20:30 (19:30);Ghana;1;1-0;0;Germany;83,391;Soccer City (Neutral Site);;;
South Africa 2010;Group stage;Wed;23/06/2010;16:00 (15:00);United States;0;0-1;1;Algeria;35,827;Loftus Versfeld Stadium (Neutral Site);;;
South Africa 2010;Group stage;Wed;23/06/2010;16:00 (15:00);Slovenia;2;2-2;2;England;36,893;Nelson Mandela Bay Stadium (Neutral Site);;;
South Africa 2010;Group stage;Tue;22/06/2010;20:30 (19:30);Nigeria;0;0-2;2;Korea Republic;61,874;Moses Mabhida Stadium (Neutral Site);;;
South Africa 2010;Group stage;Tue;22/06/2010;20:30 (19:30);Greece;0;0-1;1;Argentina;38,891;Peter Mokaba Stadium (Neutral Site);;;
South Africa 2010;Group stage;Tue;22/06/2010;16:00 (15:00);Mexico;1;1-2;2;Uruguay;33,425;Royal Bafokeng Stadium (Neutral Site);;;
South Africa 2010;Group stage;Tue;22/06/2010;16:00 (15:00);France;2;2-0;0;South Africa;39,415;Toyota Stadium (Neutral Site);;;
South Africa 2010;Group stage;Mon;21/06/2010;20:30 (19:30);Spain;1;1-0;0;Honduras;54,386;Emirates Airline Park (Neutral Site);;;
South Africa 2010;Group stage;Mon;21/06/2010;16:00 (15:00);Chile;7;7-0;0;Switzerland;34,872;Nelson Mandela Bay Stadium (Neutral Site);;;
South Africa 2010;Group stage;Mon;21/06/2010;13:30 (12:30);Portugal;3;3-1;1;Korea DPR;63,644;Cape Town Stadium (Neutral Site);;;
South Africa 2010;Group stage;Sun;20/06/2010;20:30 (19:30);Brazil;1;1-1;1;Cote d'Ivoire;84,455;Soccer City (Neutral Site);;;
South Africa 2010;Group stage;Sun;20/06/2010;16:00 (15:00);Italy;0;0-2;2;New Zealand;38,229;Mbombela Stadium (Neutral Site);;;
South Africa 2010;Group stage;Sun;20/06/2010;13:30 (12:30);Slovakia;1;1-2;2;Paraguay;26,643;Toyota Stadium (Neutral Site);;;
South Africa 2010;Group stage;Sat;19/06/2010;20:30 (19:30);Cameroon;1;1-1;1;Denmark;38,074;Loftus Versfeld Stadium (Neutral Site);;;
South Africa 2010;Group stage;Sat;19/06/2010;16:00 (15:00);Ghana;1;1-0;0;Australia;34,812;Royal Bafokeng Stadium (Neutral Site);;;
South Africa 2010;Group stage;Sat;19/06/2010;13:30 (12:30);Netherlands;0;0-0;0;Japan;62,010;Moses Mabhida Stadium (Neutral Site);;;
South Africa 2010;Group stage;Fri;18/06/2010;20:30 (19:30);England;2;2-2;2;Algeria;64,100;Cape Town Stadium (Neutral Site);;;
South Africa 2010;Group stage;Fri;18/06/2010;16:00 (15:00);Slovenia;0;0-1;1;United States;45,573;Emirates Airline Park (Neutral Site);;;
South Africa 2010;Group stage;Fri;18/06/2010;13:30 (12:30);Germany;0;0-2;2;Serbia;38,294;Nelson Mandela Bay Stadium (Neutral Site);;;
South Africa 2010;Group stage;Thu;17/06/2010;20:30 (19:30);France;2;2-1;1;Mexico;35,370;Peter Mokaba Stadium (Neutral Site);;;
South Africa 2010;Group stage;Thu;17/06/2010;16:00 (15:00);Greece;4;4-1;1;Nigeria;31,593;Toyota Stadium (Neutral Site);;;
South Africa 2010;Group stage;Thu;17/06/2010;13:30 (12:30);Argentina;0;0-3;3;Korea Republic;82,174;Soccer City (Neutral Site);;;
South Africa 2010;Group stage;Wed;16/06/2010;20:30 (19:30);South Africa;0;0-1;1;Uruguay;42,658;Loftus Versfeld Stadium (Neutral Site);;;
South Africa 2010;Group stage;Wed;16/06/2010;16:00 (15:00);Spain;0;0-1;1;Switzerland;62,453;Moses Mabhida Stadium (Neutral Site);;;
South Africa 2010;Group stage;Wed;16/06/2010;13:30 (12:30);Honduras;2;2-1;1;Chile;32,664;Mbombela Stadium (Neutral Site);;;
South Africa 2010;Group stage;Tue;15/06/2010;20:30 (19:30);Brazil;0;0-0;0;Korea DPR;54,331;Emirates Airline Park (Neutral Site);;;
South Africa 2010;Group stage;Tue;15/06/2010;16:00 (15:00);Cote d'Ivoire;1;1-1;1;Portugal;37,034;Nelson Mandela Bay Stadium (Neutral Site);;;
South Africa 2010;Group stage;Tue;15/06/2010;13:30 (12:30);Zealand;1;1-1;1;Slovakia;23,871;Royal Bafokeng Stadium (Neutral Site);;;
South Africa 2010;Group stage;Mon;14/06/2010;20:30 (19:30);Italy;1;1-0;0;Paraguay;62,869;Cape Town Stadium (Neutral Site);;;
South Africa 2010;Group stage;Mon;14/06/2010;16:00 (15:00);Japan;2;2-0;0;Cameroon;30,620;Toyota Stadium (Neutral Site);;;
South Africa 2010;Group stage;Mon;14/06/2010;13:30 (12:30);Netherlands;4;4-0;0;Denmark;83,465;Soccer City (Neutral Site);;;
South Africa 2010;Group stage;Sun;13/06/2010;20:30 (19:30);Germany;0;0-1;1;Australia;62,660;Moses Mabhida Stadium (Neutral Site);;;
South Africa 2010;Group stage;Sun;13/06/2010;16:00 (15:00);Serbia;0;0-1;1;Ghana;38,833;Loftus Versfeld Stadium (Neutral Site);;;
South Africa 2010;Group stage;Sun;13/06/2010;13:30 (12:30);Algeria;1;1-1;1;Slovenia;30,325;Peter Mokaba Stadium (Neutral Site);;;
South Africa 2010;Group stage;Sat;12/06/2010;20:30 (19:30);England;1;1-0;0;United States;38,646;Royal Bafokeng Stadium (Neutral Site);;;
South Africa 2010;Group stage;Sat;12/06/2010;16:00 (15:00);Argentina;2;2-0;0;Nigeria;55,686;Emirates Airline Park (Neutral Site);;;
South Africa 2010;Group stage;Sat;12/06/2010;13:30 (12:30);Republic;0;0-0;0;Greece;31,513;Nelson Mandela Bay Stadium (Neutral Site);;;
South Africa 2010;Group stage;Fri;11/06/2010;20:30 (19:30);Uruguay;1;1-1;1;France;64,100;Cape Town Stadium (Neutral Site);;;
South Africa 2010;Group stage;Fri;11/06/2010;16:00 (15:00);South Africa;0;0-1;1;Mexico;84,490;Soccer City (Neutral Site);;;
South Africa 2010;Quarter-finals;Sat;03/07/2010;20:30 (19:30);Paraguay;0;0-4;4;Spain;55,359;Emirates Airline Park (Neutral Site);;;
South Africa 2010;Quarter-finals;Sat;03/07/2010;16:00 (15:00);Argentina;0;0-4;4;Germany;64,100;Cape Town Stadium (Neutral Site);;;
South Africa 2010;Quarter-finals;Fri;02/07/2010;20:30 (19:30);Uruguay;1;1-1;1;Ghana;84,017;Soccer City (Neutral Site);Yes;Yes;Uruguay won on penalty kicks following extra time
South Africa 2010;Quarter-finals;Fri;02/07/2010;16:00 (15:00);Netherlands;2;2-1;1;Brazil;40,186;Nelson Mandela Bay Stadium (Neutral Site);;;
South Africa 2010;Round of 16;Tue;29/06/2010;20:30 (19:30);Spain;1;1-0;0;Portugal;62,955;Cape Town Stadium (Neutral Site);;;
South Africa 2010;Round of 16;Tue;29/06/2010;16:00 (15:00);Paraguay;0;0-0;0;Japan;36,742;Loftus Versfeld Stadium (Neutral Site);Yes;Yes;Paraguay won on penalty kicks following extra time
South Africa 2010;Round of 16;Mon;28/06/2010;20:30 (19:30);Brazil;3;3-0;0;Chile;54,096;Emirates Airline Park (Neutral Site);;;
South Africa 2010;Round of 16;Mon;28/06/2010;16:00 (15:00);Netherlands;2;2-1;1;Slovakia;61,962;Moses Mabhida Stadium (Neutral Site);;;
South Africa 2010;Round of 16;Sun;27/06/2010;20:30 (19:30);Argentina;3;3-1;1;Mexico;84,377;Soccer City (Neutral Site);;;
South Africa 2010;Round of 16;Sun;27/06/2010;16:00 (15:00);Germany;4;4-1;1;England;40,510;Toyota Stadium (Neutral Site);;;
South Africa 2010;Round of 16;Sat;26/06/2010;20:30 (19:30);United States;1;1-2;2;Ghana;34,976;Royal Bafokeng Stadium (Neutral Site);Yes;;Required Extra Time
South Africa 2010;Round of 16;Sat;26/06/2010;16:00 (15:00);Uruguay;2;2-1;1;Korea Republic;30,597;Nelson Mandela Bay Stadium (Neutral Site);;;
South Africa 2010;Semi-finals;Wed;07/07/2010;20:30 (19:30);Germany;0;0-1;1;Spain;60,960;Moses Mabhida Stadium (Neutral Site);;;
South Africa 2010;Semi-finals;Tue;06/07/2010;20:30 (19:30);Uruguay;2;2-3;3;Netherlands;62,479;Cape Town Stadium (Neutral Site);;;
South Africa 2010;Third-place match;Sat;10/07/2010;20:30 (19:30);Uruguay;2;2-3;3;Germany;36,254;Nelson Mandela Bay Stadium (Neutral Site);;;
Germany 2006;Group stage;Fri;09/06/2006;18:00 (17:00);Germany;4;4-2;2;Costa Rica;64,950;Allianz Arena (Neutral Site);;;
Germany 2006;Group stage;Fri;09/06/2006;21:00 (20:00);Poland;0;0-2;2;Ecuador;52,000;Veltins-Arena (Neutral Site);;;
Germany 2006;Group stage;Sat;10/06/2006;15:00 (14:00);England;1;1-0;0;Paraguay;48,000;Commerzbank-Arena (Neutral Site);;;
Germany 2006;Group stage;Sat;10/06/2006;18:00 (17:00);Trindad & Tobago;0;0-0;0;Sweden;62,959;Signal Iduna Park (Neutral Site);;;
Germany 2006;Group stage;Sat;10/06/2006;21:00 (20:00);Argentina;2;2-1;1;Cote d'Ivoire;49,480;Volksparkstadion (Neutral Site);;;
Germany 2006;Group stage;Sun;11/06/2006;15:00 (14:00);Montenegro;0;0-1;1;Netherlands;37,216;Red Bull Arena (Neutral Site);;;
Germany 2006;Group stage;Sun;11/06/2006;18:00 (17:00);Mexico;3;3-1;1;IR Iran;41,000;Max-Morlock-Stadion (Neutral Site);;;
Germany 2006;Group stage;Sun;11/06/2006;21:00 (20:00);Angola;0;0-1;1;Portugal;45,000;RheinEnergieSTADION (Neutral Site);;;
Germany 2006;Group stage;Mon;12/06/2006;15:00 (14:00);Australia;3;3-1;1;Japan;46,000;Fritz-Walter-Stadion (Neutral Site);;;
Germany 2006;Group stage;Mon;12/06/2006;18:00 (17:00);United States;0;0-3;3;Czech Republic;52,000;Veltins-Arena (Neutral Site);;;
Germany 2006;Group stage;Mon;12/06/2006;21:00 (20:00);Italy;2;2-0;0;Ghana;43,000;HDI-Arena (Neutral Site);;;
Germany 2006;Group stage;Tue;13/06/2006;15:00 (14:00);Republic;2;2-1;1;Togo;48,000;Commerzbank-Arena (Neutral Site);;;
Germany 2006;Group stage;Tue;13/06/2006;18:00 (17:00);France;0;0-0;0;Switzerland;52,000;Mercedes-Benz Arena (Neutral Site);;;
Germany 2006;Group stage;Tue;13/06/2006;21:00 (20:00);Brazil;1;1-0;0;Croatia;72,000;Olympiastadion Berlin (Neutral Site);;;
Germany 2006;Group stage;Wed;14/06/2006;15:00 (14:00);Spain;4;4-0;0;Ukraine;43,000;Red Bull Arena (Neutral Site);;;
Germany 2006;Group stage;Wed;14/06/2006;18:00 (17:00);Tunisia;2;2-2;2;Saudi Arabia;66,000;Allianz Arena (Neutral Site);;;
Germany 2006;Group stage;Wed;14/06/2006;21:00 (20:00);Germany;1;1-0;0;Poland;65,000;Signal Iduna Park (Neutral Site);;;
Germany 2006;Group stage;Thu;15/06/2006;15:00 (14:00);Ecuador;3;3-0;0;Costa Rica;50,000;Veltins-Arena (Neutral Site);;;
Germany 2006;Group stage;Thu;15/06/2006;18:00 (17:00);England;2;2-0;0;Trin & Tobago;41,000;Max-Morlock-Stadion (Neutral Site);;;
Germany 2006;Group stage;Thu;15/06/2006;21:00 (20:00);Sweden;1;1-0;0;Paraguay;72,000;Olympiastadion Berlin (Neutral Site);;;
Germany 2006;Group stage;Fri;16/06/2006;15:00 (14:00);Argentina;6;6-0;0;Serbia & Montenegro;52,000;Veltins-Arena (Neutral Site);;;
Germany 2006;Group stage;Fri;16/06/2006;18:00 (17:00);Netherlands;2;2-1;1;Cote d'Ivoire;52,000;Mercedes-Benz Arena (Neutral Site);;;
Germany 2006;Group stage;Fri;16/06/2006;21:00 (20:00);Mexico;0;0-0;0;Angola;43,000;HDI-Arena (Neutral Site);;;
Germany 2006;Group stage;Sat;17/06/2006;15:00 (14:00);Portugal;2;2-0;0;IR Iran;48,000;Commerzbank-Arena (Neutral Site);;;
Germany 2006;Group stage;Sat;17/06/2006;18:00 (17:00);Republic;0;0-2;2;Ghana;45,000;RheinEnergieSTADION (Neutral Site);;;
Germany 2006;Group stage;Sat;17/06/2006;21:00 (20:00);Italy;1;1-1;1;United States;46,000;Fritz-Walter-Stadion (Neutral Site);;;
Germany 2006;Group stage;Sun;18/06/2006;15:00 (14:00);Japan;0;0-0;0;Croatia;41,000;Max-Morlock-Stadion (Neutral Site);;;
Germany 2006;Group stage;Sun;18/06/2006;18:00 (17:00);Brazil;2;2-0;0;Australia;66,000;Allianz Arena (Neutral Site);;;
Germany 2006;Group stage;Sun;18/06/2006;21:00 (20:00);France;1;1-1;1;Korea Republic;43,000;Red Bull Arena (Neutral Site);;;
Germany 2006;Group stage;Mon;19/06/2006;15:00 (14:00);Togo;0;0-2;2;Switzerland;65,000;Signal Iduna Park (Neutral Site);;;
Germany 2006;Group stage;Mon;19/06/2006;18:00 (17:00);Saudi Arabia;0;0-4;4;Ukraine;50,000;Volksparkstadion (Neutral Site);;;
Germany 2006;Group stage;Mon;19/06/2006;21:00 (20:00);Spain;3;3-1;1;Tunisia;52,000;Mercedes-Benz Arena (Neutral Site);;;
Germany 2006;Group stage;Tue;20/06/2006;16:00 (15:00);Ecuador;0;0-3;3;Germany;72,000;Olympiastadion Berlin (Neutral Site);;;
Germany 2006;Group stage;Tue;20/06/2006;16:00 (15:00);Costa Rica;1;1-2;2;Poland;43,000;HDI-Arena (Neutral Site);;;
Germany 2006;Group stage;Tue;20/06/2006;21:00 (20:00);Sweden;2;2-2;2;England;45,000;RheinEnergieSTADION (Neutral Site);;;
Germany 2006;Group stage;Tue;20/06/2006;21:00 (20:00);Paraguay;2;2-0;0;Trin & Tobago;46,000;Fritz-Walter-Stadion (Neutral Site);;;
Germany 2006;Group stage;Wed;21/06/2006;16:00 (15:00);IR Iran;1;1-1;1;Angola;38,000;Red Bull Arena (Neutral Site);;;
Germany 2006;Group stage;Wed;21/06/2006;16:00 (15:00);Portugal;2;2-1;1;Mexico;52,000;Veltins-Arena (Neutral Site);;;
Germany 2006;Group stage;Wed;21/06/2006;21:00 (20:00);Cote d'Ivoire;3;3-2;2;Serbia & Montenegro;66,000;Allianz Arena (Neutral Site);;;
Germany 2006;Group stage;Wed;21/06/2006;21:00 (20:00);Netherlands;0;0-0;0;Argentina;48,000;Commerzbank-Arena (Neutral Site);;;
Germany 2006;Group stage;Thu;22/06/2006;16:00 (15:00);Ghana;2;2-1;1;United States;41,000;Max-Morlock-Stadion (Neutral Site);;;
Germany 2006;Group stage;Thu;22/06/2006;16:00 (15:00);Republic;0;0-2;2;Italy;50,000;Volksparkstadion (Neutral Site);;;
Germany 2006;Group stage;Thu;22/06/2006;21:00 (20:00);Japan;1;1-4;4;Brazil;65,000;Signal Iduna Park (Neutral Site);;;
Germany 2006;Group stage;Thu;22/06/2006;21:00 (20:00);Croatia;2;2-2;2;Australia;52,000;Mercedes-Benz Arena (Neutral Site);;;
Germany 2006;Group stage;Fri;23/06/2006;16:00 (15:00);Ukraine;1;1-0;0;Tunisia;72,000;Olympiastadion Berlin (Neutral Site);;;
Germany 2006;Group stage;Fri;23/06/2006;16:00 (15:00);Saudi Arabia;0;0-1;1;Spain;46,000;Fritz-Walter-Stadion (Neutral Site);;;
Germany 2006;Group stage;Fri;23/06/2006;21:00 (20:00);Togo;0;0-2;2;France;45,000;RheinEnergieSTADION (Neutral Site);;;
Germany 2006;Group stage;Fri;23/06/2006;21:00 (20:00);Switzerland;2;2-0;0;Korea Republic;43,000;HDI-Arena (Neutral Site);;;
Germany 2006;Round of 16;Sat;24/06/2006;17:00 (16:00);Germany;2;2-0;0;Sweden;66,000;Allianz Arena (Neutral Site);;;
Germany 2006;Round of 16;Sat;24/06/2006;21:00 (20:00);Argentina;2;2-1;1;Mexico;43,000;Red Bull Arena (Neutral Site);Yes;;Required Extra Time
Germany 2006;Round of 16;Sun;25/06/2006;17:00 (16:00);England;1;1-0;0;Ecuador;52,000;Mercedes-Benz Arena (Neutral Site);;;
Germany 2006;Round of 16;Sun;25/06/2006;21:00 (20:00);Portugal;1;1-0;0;Netherlands;41,000;Max-Morlock-Stadion (Neutral Site);;;
